timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-29,0.4503,0.475,0.45,0.45,0.45,2760,0.0000,1.0
2021-07-28,0.4362,0.4362,0.4362,0.4362,0.4362,0,0.0000,1.0
2021-07-27,0.5399,0.5399,0.4362,0.4362,0.4362,1117,0.0000,1.0
2021-07-26,0.55,0.5502,0.3845,0.4357,0.4357,38808,0.0000,1.0
2021-07-23,0.6,0.6,0.6,0.6,0.6,0,0.0000,1.0
2021-07-22,0.53,0.6,0.53,0.6,0.6,700,0.0000,1.0
2021-07-21,0.5501,0.5501,0.549899,0.55,0.55,11217,0.0000,1.0
2021-07-20,0.55554,0.55554,0.5501,0.5501,0.5501,356,0.0000,1.0
2021-07-19,0.6,0.6,0.6,0.6,0.6,25,0.0000,1.0
2021-07-16,0.6001,0.6001,0.57505,0.6,0.6,8530,0.0000,1.0
2021-07-15,0.65,0.65,0.65,0.65,0.65,10,0.0000,1.0
2021-07-14,0.65,0.65,0.65,0.65,0.65,60,0.0000,1.0
2021-07-13,0.65,0.65,0.65,0.65,0.65,0,0.0000,1.0
2021-07-12,0.65,0.65,0.65,0.65,0.65,2773,0.0000,1.0
2021-07-09,0.61,0.61,0.61,0.61,0.61,0,0.0000,1.0
2021-07-08,0.61,0.61,0.61,0.61,0.61,0,0.0000,1.0
2021-07-07,0.6002,0.61,0.5601,0.61,0.61,5100,0.0000,1.0
2021-07-06,0.6,0.6,0.6,0.6,0.6,718,0.0000,1.0
2021-07-02,0.599899,0.6,0.599899,0.599901,0.599901,853,0.0000,1.0
2021-07-01,0.57,0.57,0.57,0.57,0.57,147,0.0000,1.0
2021-06-30,0.6,0.6,0.6,0.6,0.6,0,0.0000,1.0
2021-06-29,0.57,0.6,0.57,0.6,0.6,7727,0.0000,1.0
2021-06-28,0.6,0.6001,0.5999,0.6,0.6,5308,0.0000,1.0
2021-06-25,0.59,0.6,0.59,0.6,0.6,1429,0.0000,1.0
2021-06-24,0.59,0.6,0.59,0.6,0.6,500,0.0000,1.0
2021-06-23,0.535029,0.55,0.535029,0.5499,0.5499,2601,0.0000,1.0
2021-06-22,0.46,0.46,0.46,0.46,0.46,0,0.0000,1.0
2021-06-21,0.46,0.46,0.46,0.46,0.46,200,0.0000,1.0
2021-06-18,0.4202,0.4202,0.4202,0.4202,0.4202,9,0.0000,1.0
2021-06-17,0.4301,0.4302,0.4202,0.4202,0.4202,1021,0.0000,1.0
2021-06-16,0.54,0.54,0.54,0.54,0.54,0,0.0000,1.0
2021-06-15,0.54,0.54,0.54,0.54,0.54,3,0.0000,1.0
2021-06-14,0.54,0.54,0.54,0.54,0.54,1,0.0000,1.0
2021-06-11,0.54,0.54,0.54,0.54,0.54,1,0.0000,1.0
2021-06-10,0.549799,0.549799,0.54,0.54,0.54,602,0.0000,1.0
2021-06-09,0.4499,0.55,0.4499,0.55,0.55,6981,0.0000,1.0
2021-06-08,0.5498,0.5498,0.5498,0.5498,0.5498,0,0.0000,1.0
2021-06-07,0.5498,0.5498,0.5498,0.5498,0.5498,50,0.0000,1.0
2021-06-04,0.5499,0.55,0.5498,0.5498,0.5498,993,0.0000,1.0
2021-06-03,0.4501,0.6,0.45,0.599699,0.599699,3843,0.0000,1.0
2021-06-02,0.4501,0.4501,0.4501,0.4501,0.4501,150,0.0000,1.0
2021-06-01,0.4001,0.4001,0.4001,0.4001,0.4001,0,0.0000,1.0
2021-05-28,0.2401,0.4001,0.2401,0.4001,0.4001,456,0.0000,1.0
2021-05-27,0.52,0.52,0.48,0.48,0.48,3442,0.0000,1.0
2021-05-26,0.4207,0.48,0.4202,0.48,0.48,759,0.0000,1.0
2021-05-25,0.53,0.53,0.4785,0.499463,0.499463,7939,0.0000,1.0
2021-05-24,0.5209,0.5209,0.45,0.45,0.45,6859,0.0000,1.0
2021-05-21,0.521,0.521,0.521,0.521,0.521,0,0.0000,1.0
2021-05-20,0.5501,0.5501,0.5204,0.521,0.521,3256,0.0000,1.0
2021-05-19,0.510101,0.510101,0.510101,0.510101,0.510101,521,0.0000,1.0
2021-05-18,0.5995,0.6001,0.5394,0.5499,0.5499,4055,0.0000,1.0
2021-05-17,0.5998,0.5998,0.5998,0.5998,0.5998,200,0.0000,1.0
2021-05-14,0.6,0.6,0.6,0.6,0.6,2400,0.0000,1.0
2021-05-13,0.6696,0.73,0.4412,0.55,0.55,44232,0.0000,1.0
2021-05-12,0.5501,0.5501,0.5501,0.5501,0.5501,0,0.0000,1.0
2021-05-11,0.55,0.5501,0.55,0.5501,0.5501,1033,0.0000,1.0
2021-05-10,0.61,0.703001,0.6,0.6,0.6,14981,0.0000,1.0
2021-05-07,0.609899,0.61,0.59,0.6,0.6,2271,0.0000,1.0
2021-05-06,0.59,0.59,0.59,0.59,0.59,1288,0.0000,1.0
2021-05-05,0.69,0.7,0.59,0.59,0.59,7844,0.0000,1.0
2021-05-04,0.6106,0.6106,0.6106,0.6106,0.6106,499,0.0000,1.0
2021-05-03,0.75,0.75,0.59,0.59,0.59,5398,0.0000,1.0
2021-04-30,0.75,0.75,0.6981,0.7,0.7,11291,0.0000,1.0
2021-04-29,0.8,0.8,0.8,0.8,0.8,0,0.0000,1.0
2021-04-28,0.8,0.8,0.8,0.8,0.8,0,0.0000,1.0
2021-04-27,0.575075,0.8,0.575075,0.8,0.8,2302,0.0000,1.0
2021-04-26,0.8,0.800001,0.7495,0.800001,0.800001,16155,0.0000,1.0
2021-04-23,0.8,0.8,0.79,0.7999,0.7999,2684,0.0000,1.0
2021-04-22,0.8,0.8,0.8,0.8,0.8,40,0.0000,1.0
2021-04-21,0.8,0.8,0.8,0.8,0.8,67,0.0000,1.0
2021-04-20,0.8,0.8,0.8,0.8,0.8,0,0.0000,1.0
2021-04-19,0.8,0.8,0.8,0.8,0.8,474,0.0000,1.0
2021-04-16,0.76,0.8,0.75,0.8,0.8,5417,0.0000,1.0
2021-04-15,0.81,0.81,0.8,0.8,0.8,13099,0.0000,1.0
2021-04-14,0.8599,0.86,0.81,0.81,0.81,10214,0.0000,1.0
2021-04-13,0.82,0.87,0.82,0.8629,0.8629,6380,0.0000,1.0
2021-04-12,0.9994,0.9994,0.9994,0.9994,0.9994,110,0.0000,1.0
2021-04-09,0.98,1.0,0.98,0.9994,0.9994,6770,0.0000,1.0
2021-04-08,0.79,0.81,0.79,0.81,0.81,5150,0.0000,1.0
2021-04-07,0.73,0.8299,0.7,0.7,0.7,9626,0.0000,1.0
2021-04-06,0.987,0.987,0.8,0.8,0.8,26461,0.0000,1.0
2021-04-05,0.9019,0.9019,0.9019,0.9019,0.9019,20,0.0000,1.0
2021-04-01,0.9101,0.920481,0.9019,0.9019,0.9019,1057,0.0000,1.0
2021-03-31,0.91,0.92,0.9018,0.9018,0.9018,923,0.0000,1.0
2021-03-30,0.96,1.01,0.9299,0.93,0.93,11641,0.0000,1.0
2021-03-29,1.1,1.1,1.0,1.05,1.05,3539,0.0000,1.0
2021-03-26,1.0801,1.1001,1.04,1.04,1.04,13150,0.0000,1.0
2021-03-25,1.1036,1.1036,0.948,1.06,1.06,16280,0.0000,1.0
2021-03-24,1.04,1.2,1.03,1.07,1.07,19991,0.0000,1.0
2021-03-23,1.17,1.2399,1.03,1.03,1.03,42016,0.0000,1.0
2021-03-22,1.43,1.43,1.28,1.2899,1.2899,14271,0.0000,1.0
2021-03-19,1.41,1.45,1.285,1.45,1.45,27537,0.0000,1.0
2021-03-18,1.4,1.45,1.36,1.41,1.41,8977,0.0000,1.0
2021-03-17,1.38,1.4007,1.31,1.31,1.31,14490,0.0000,1.0
2021-03-16,1.373,1.4,1.2678,1.35,1.35,4850,0.0000,1.0
2021-03-15,1.3,1.4,1.29,1.34,1.34,12785,0.0000,1.0
2021-03-12,1.25,1.3,1.1108,1.2,1.2,13554,0.0000,1.0
2021-03-11,1.02,1.25,1.0,1.1799,1.1799,30465,0.0000,1.0
2021-03-10,1.03,1.1,1.03,1.07,1.07,5515,0.0000,1.0
2021-03-09,1.25,1.25,1.1,1.12,1.12,5318,0.0000,1.0
2021-03-08,0.98,1.24,0.98,1.21,1.21,26089,0.0000,1.0
2021-03-05,0.92,0.9339,0.92,0.9339,0.9339,1193,0.0000,1.0
2021-03-04,1.325,1.325,0.81,1.15,1.15,53547,0.0000,1.0
2021-03-03,1.4099,1.58,1.37,1.4499,1.4499,205971,0.0000,1.0
2021-03-02,1.2,1.225,1.18,1.19,1.19,116827,0.0000,1.0
2021-03-01,1.12,1.155,1.072,1.12,1.12,31720,0.0000,1.0
2021-02-26,1.08,1.18,0.99,1.0,1.0,10688,0.0000,1.0
2021-02-25,1.3,1.3,1.022,1.19,1.19,20239,0.0000,1.0
2021-02-24,1.02,1.21,0.85,1.18,1.18,90950,0.0000,1.0
2021-02-23,1.08,1.1,0.95,1.03,1.03,17040,0.0000,1.0
2021-02-22,1.15,1.26,1.15,1.17,1.17,38039,0.0000,1.0
2021-02-19,1.2,1.205,1.05,1.13,1.13,19458,0.0000,1.0
2021-02-18,1.38,1.38,1.05,1.155,1.155,35910,0.0000,1.0
2021-02-17,1.2,1.575,1.06,1.17,1.17,11819,0.0000,1.0
2021-02-16,1.55,1.97,1.0875,1.2,1.2,106271,0.0000,1.0
2021-02-12,1.6852,1.7,1.22,1.3,1.3,52007,0.0000,1.0
2021-02-11,1.75,1.9,1.61,1.7,1.7,32464,0.0000,1.0
2021-02-10,1.55,1.9,1.5,1.61,1.61,74283,0.0000,1.0
2021-02-09,1.99,2.7123,0.8,1.67,1.67,264176,0.0000,1.0
